,movie_id,actor_id
0,335787,1136406
1,335787,13240
2,335787,1163789
3,335787,1859934
4,335787,3131
5,335787,27764
6,335787,1974046
7,752623,18277
8,752623,38673
9,752623,10980
10,752623,287
11,752623,1180099
12,752623,2079729
13,752623,76094
14,414906,11288
15,414906,37153
16,414906,17142
17,414906,2954
18,414906,1241
19,414906,133
20,414906,1333
21,634649,1136406
22,634649,505710
23,634649,71580
24,634649,1649152
25,634649,15277
26,634649,134
27,634649,5293
28,453395,71580
29,453395,550843
30,453395,5294
31,453395,30082
32,453395,1912381
33,453395,1538879
34,453395,2047847
35,508947,25540
36,508947,3156344
37,508947,1373681
38,508947,2602879
39,508947,2719558
40,508947,1333452
41,508947,1269910
42,406759,4587
43,406759,17178
44,406759,1010135
45,406759,1440574
46,406759,2225985
47,406759,454
48,406759,55636
49,628900,62064
50,628900,11107
51,628900,94098
52,628900,1665
53,628900,2628
54,628900,1998541
55,628900,1105706
56,526896,7499
57,526896,136532
58,526896,1371297
59,526896,15440
60,526896,90534
61,526896,8169
62,526896,2232
63,763285,131
64,763285,1639847
65,763285,1222992
66,763285,39520
67,763285,39213
68,763285,2042908
69,763285,78398
70,284052,71580
71,284052,5294
72,284052,53714
73,284052,30082
74,284052,1019
75,284052,3063
76,284052,72873
77,568124,968367
78,568124,2521631
79,568124,5723
80,568124,3150235
81,568124,2489411
82,568124,120557
83,568124,1489764
84,338953,37632
85,338953,9642
86,338953,1019
87,338953,132157
88,338953,58873
89,338953,998225
90,338953,1371041
91,606402,85008
92,606402,1593672
93,606402,234641
94,606402,1297749
95,606402,1257661
96,606402,1349146
97,606402,1473841
98,585083,77948
99,585083,62861
100,585083,17696
101,585083,84407
102,585083,884
103,585083,28640
104,585083,60950
105,696806,10859
106,696806,2867506
107,696806,103
108,696806,9278
109,696806,8691
110,696806,2229
111,696806,1020687
112,580489,2524
113,580489,57755
114,580489,1812
115,580489,2038
116,580489,81316
117,580489,1115
118,580489,2141479
119,635302,1256603
120,635302,1563442
121,635302,119145
122,635302,233590
123,635302,224413
124,635302,9705
125,635302,24647
126,524434,97576
127,524434,512991
128,524434,11701
129,524434,466505
130,524434,1290466
131,524434,2287101
132,524434,1791619
133,438695,10297
134,438695,368
135,438695,1245
136,438695,1303037
137,438695,21127
138,438695,1540615
139,438695,208519
140,823625,3896
141,823625,2026050
142,823625,1369329
143,823625,18992
144,823625,123724
145,823625,114843
146,823625,1635549
147,566525,1489211
148,566525,1337
149,566525,1625558
150,566525,2979464
