,movie_id,genre_id
0,335787,28
1,335787,12
2,752623,28
3,752623,12
4,752623,35
5,752623,10749
6,414906,80
7,414906,9648
8,414906,53
9,634649,28
10,634649,12
11,634649,878
12,453395,14
13,453395,28
14,453395,12
15,508947,16
16,508947,10751
17,508947,35
18,508947,14
19,406759,878
20,406759,12
21,406759,28
22,628900,28
23,628900,53
24,526896,28
25,526896,878
26,526896,14
27,763285,28
28,763285,53
29,763285,80
30,284052,28
31,284052,12
32,284052,14
33,284052,878
34,568124,16
35,568124,35
36,568124,10751
37,568124,14
38,338953,28
39,338953,12
40,338953,14
41,606402,28
42,585083,16
43,585083,10751
44,585083,14
45,585083,35
46,585083,12
47,696806,28
48,696806,12
49,696806,35
50,696806,878
51,580489,878
52,580489,28
53,580489,12
54,635302,16
55,635302,28
56,635302,12
57,635302,14
58,524434,878
59,524434,28
60,524434,12
61,438695,16
62,438695,35
63,438695,10751
64,438695,10402
65,823625,28
66,823625,53
67,566525,28
68,566525,12
69,566525,14
70,566525,878
71,19995,28
72,19995,12
73,19995,14
74,19995,878
75,476669,28
76,476669,12
77,476669,53
78,476669,10752
79,476669,9648
80,459151,16
81,459151,35
82,459151,12
83,459151,10751
84,425909,14
85,425909,35
86,425909,12
87,585245,10751
88,585245,12
89,585245,35
90,585245,14
91,299536,12
92,299536,28
93,299536,878
94,1865,12
95,1865,28
96,1865,14
97,624860,878
98,624860,28
99,624860,12
100,58,12
101,58,14
102,58,28
103,454626,28
104,454626,878
105,454626,35
106,454626,10751
107,512195,28
108,512195,35
109,512195,80
110,512195,53
111,285,12
112,285,14
113,285,28
114,22,12
115,22,14
116,22,28
117,460465,28
118,460465,14
119,460465,12
120,337404,35
121,337404,80
122,337404,12
123,550988,35
124,550988,28
125,550988,12
126,550988,878
127,270303,27
128,270303,9648
129,508943,16
130,508943,35
131,508943,10751
132,508943,14
133,436969,28
134,436969,12
135,436969,14
136,661231,10752
137,661231,36
138,661231,18
139,385128,28
140,385128,80
141,385128,53
142,385128,12
143,299534,12
144,299534,878
145,299534,28
146,597208,80
147,597208,18
148,597208,53
149,791373,28
150,791373,12
151,791373,14
152,791373,878
153,423108,27
154,423108,9648
155,423108,53
156,379686,10751
157,379686,16
158,379686,35
159,379686,878
160,24428,878
161,24428,28
162,24428,12
163,166426,12
164,166426,28
165,166426,14
166,497698,28
167,497698,12
168,497698,878
169,744275,10749
170,744275,18
171,482321,16
172,482321,878
173,482321,10751
174,482321,35
175,438631,878
176,438631,12
177,451048,28
178,451048,12
179,451048,14
180,399566,28
181,399566,14
182,399566,878
183,522016,28
184,522016,53
185,751237,27
186,751237,9648
187,810693,16
188,810693,28
189,810693,12
190,810693,9648
191,916740,53
192,916740,9648
193,916740,18
194,615904,10749
195,615904,35
196,615904,10402
197,597,18
198,597,10749
199,522402,878
200,522402,18
201,522402,12
202,532710,53
203,532710,14
204,532710,27
205,631843,53
206,631843,9648
207,631843,27
208,303857,28
209,303857,16
210,303857,878
211,370172,12
212,370172,28
213,370172,53
214,505026,80
215,505026,18
216,505026,9648
217,505026,53
218,14836,16
219,14836,10751
220,14836,14
221,259316,28
222,259316,12
223,259316,14
224,507086,12
225,507086,28
226,507086,878
227,507086,53
228,671,12
229,671,14
230,527774,16
231,527774,10751
232,527774,14
233,527774,28
234,527774,12
235,615457,28
236,615457,80
237,615457,53
238,99861,28
239,99861,12
240,99861,878
241,361743,28
242,361743,18
243,588228,28
244,588228,878
245,588228,12
246,639721,16
247,639721,12
248,639721,35
249,639721,10751
250,523936,27
251,523936,878
252,523936,18
253,523936,53
254,1930,28
255,1930,12
256,1930,14
257,482373,53
258,482373,27
259,198663,28
260,198663,9648
261,198663,878
262,198663,53
263,293660,28
264,293660,12
265,293660,35
266,765119,35
267,338952,28
268,338952,12
269,338952,14
270,610253,27
271,610253,53
272,354912,10751
273,354912,16
274,354912,14
275,354912,10402
276,354912,35
277,354912,12
278,458576,28
279,458576,14
280,458576,12
281,617653,28
282,617653,18
283,617653,36
284,10138,12
285,10138,28
286,10138,878
287,674,12
288,674,14
289,674,10751
290,106646,80
291,106646,18
292,106646,35
293,602223,27
294,602223,28
295,602223,53
296,862,16
297,862,12
298,862,10751
299,862,35
300,464052,28
301,464052,12
302,464052,14
303,118,12
304,118,35
305,118,10751
306,118,14
307,13811,28
308,13811,9648
309,13811,878
310,13811,53
311,672,12
312,672,14
313,324786,18
314,324786,36
315,324786,10752
316,50014,18
317,12445,14
318,12445,12
319,756403,16
320,756403,14
321,756403,10402
322,756403,12
323,756403,35
324,756403,10751
325,767,12
326,767,14
327,745881,27
328,745881,53
329,568620,28
330,568620,12
331,520763,878
332,520763,53
333,520763,27
334,372058,10749
335,372058,16
336,372058,18
337,474350,27
338,474350,14
339,763164,28
340,763164,53
341,763164,878
342,315635,28
343,315635,12
344,315635,878
345,315635,18
346,673,12
347,673,14
348,335983,878
349,335983,28
350,808,16
351,808,35
352,808,14
353,808,12
354,808,10751
355,177572,12
356,177572,10751
357,177572,16
358,177572,28
359,177572,35
360,511809,18
361,511809,10749
362,511809,80
363,585,16
364,585,35
365,585,10751
366,821427,18
367,821427,53
368,271110,12
369,271110,28
370,271110,878
371,587807,35
372,587807,10751
373,587807,16
374,539885,28
375,539885,80
376,539885,18
377,539885,53
378,126963,16
379,126963,28
380,126963,878
381,284053,28
382,284053,12
383,284053,14
384,284053,878
385,675,12
386,675,14
387,675,9648
388,8587,10751
389,8587,16
390,8587,18
391,12444,12
392,12444,14
393,429617,28
394,429617,12
395,429617,878
396,537915,10749
397,537915,18
398,591120,28
399,591120,12
400,591120,35
401,591120,36
402,508442,16
403,508442,35
404,508442,14
405,508442,10751
406,24021,12
407,24021,14
408,24021,18
409,24021,10749
410,138843,27
411,138843,53
412,135397,28
413,135397,12
414,135397,878
415,135397,53
416,10195,12
417,10195,14
418,10195,28
419,809,16
420,809,10751
421,809,35
422,809,14
423,809,12
424,102382,28
425,102382,12
426,102382,14
427,337339,28
428,337339,80
429,337339,53
430,571891,16
431,571891,12
432,571891,14
433,571891,28
434,571891,10751
435,571265,16
436,571265,28
437,571265,53
438,571265,12
439,571265,14
440,214756,35
441,623135,35
442,623135,18
443,863,16
444,863,35
445,863,10751
446,531219,10751
447,531219,14
448,531219,12
449,531219,35
450,531219,27
451,330457,10751
452,330457,16
453,330457,12
454,330457,35
455,330457,14
456,706972,28
457,706972,18
458,706972,80
459,18240,35
460,18240,10749
461,18240,18
462,514847,28
463,514847,53
464,514847,27
465,2062,16
466,2062,35
467,2062,10751
468,2062,14
469,207703,80
470,207703,35
471,207703,28
472,207703,12
473,744,28
474,744,18
475,744,12
476,259693,27
477,259693,53
478,631132,16
479,631132,12
480,631132,28
